node,product_id,seller_id,category,rating,review_count,degree,weighted_degree,max_overlap,mean_jaccard,max_jaccard,clustering_coeff,core_number,pagerank,community_id,community_density,seller_concentration,hazard_code,is_known_eu_sanction,is_true_dangerous,product_hazard_index,risk_tier,anomaly_prediction,is_suspicious,anomaly_score
prod_20004341,20004341,1000425,Automotive,4.17,2080,1844,6550,331,0.0016,0.094,0.0003,46,0.03184,714,0.0141,0.006,NONE,False,False,1.0,CRITICAL_HAZARD,-1,True,-0.3023
prod_20002210,20002210,1000444,Tools & Home Improvement,4.17,1771,1732,5667,331,0.0017,0.094,0.0003,46,0.027627,282,0.013,0.007,NONE,False,False,0.9286,CRITICAL_HAZARD,-1,True,-0.3019
prod_20002810,20002810,1000282,Home & Garden,4.17,629,986,2104,102,0.0029,0.0391,0.0004,46,0.010214,501,0.0146,0.015,NONE,False,False,0.5649,HIGH_RISK,-1,True,-0.2977
prod_20001615,20001615,1000385,Phones & Telecommunications,4.21,465,765,1512,82,0.0035,0.0333,0.0005,46,0.007392,714,0.0141,0.006,NONE,False,False,0.4821,HIGH_RISK,-1,True,-0.2821
prod_20002842,20002842,1000469,Consumer Electronics,4.17,429,733,1412,64,0.0037,0.0295,0.0005,46,0.006851,714,0.0141,0.006,NONE,False,False,0.4753,HIGH_RISK,-1,True,-0.2797
prod_20002902,20002902,1000087,Sports & Entertainment,4.16,342,664,1198,66,0.0042,0.028,0.0005,46,0.005859,714,0.0141,0.006,NONE,False,False,0.4324,HIGH_RISK,-1,True,-0.279
prod_20002481,20002481,1000048,Consumer Electronics,4.22,371,681,1305,60,0.0041,0.0251,0.0005,46,0.006298,714,0.0141,0.006,NONE,False,False,0.4581,HIGH_RISK,-1,True,-0.2776
prod_20004645,20004645,1000384,Home & Garden,4.11,283,521,899,46,0.0047,0.0244,0.0006,46,0.004311,282,0.013,0.007,UNCERTIFIED_MED,True,True,0.4382,HIGH_RISK,-1,True,-0.2547
prod_20001965,20001965,1000210,Phones & Telecommunications,4.11,267,529,869,46,0.0047,0.02,0.0005,46,0.004249,282,0.013,0.007,NONE,False,False,0.3624,HIGH_RISK,-1,True,-0.254
prod_20002894,20002894,1000125,Computer & Office,4.17,285,567,945,48,0.0045,0.0219,0.0005,46,0.004667,282,0.013,0.007,NONE,False,False,0.3759,HIGH_RISK,-1,True,-0.2523
prod_20002647,20002647,1000434,Home & Garden,4.13,248,500,816,48,0.0049,0.0211,0.0006,46,0.004012,714,0.0141,0.006,NONE,False,False,0.353,HIGH_RISK,-1,True,-0.2493
prod_20003571,20003571,1000040,Home & Garden,4.1,250,499,820,37,0.005,0.0197,0.0006,46,0.003942,714,0.0141,0.006,NONE,False,False,0.3589,HIGH_RISK,-1,True,-0.2485
prod_20001361,20001361,1000493,Automotive,4.15,248,497,819,39,0.005,0.021,0.0006,46,0.004016,282,0.013,0.007,NONE,False,False,0.3547,HIGH_RISK,-1,True,-0.2457
prod_20001153,20001153,1000340,Consumer Electronics,4.21,221,478,730,35,0.0052,0.0179,0.0005,46,0.003544,282,0.013,0.007,NONE,False,False,0.3489,MODERATE_RISK,-1,True,-0.2429
prod_20004715,20004715,1000155,Computer & Office,4.09,222,442,700,34,0.0053,0.0184,0.0006,46,0.003438,714,0.0141,0.006,NONE,False,False,0.356,HIGH_RISK,-1,True,-0.239
prod_20002781,20002781,1000284,Automotive,4.11,204,435,678,34,0.0057,0.0175,0.0006,46,0.003333,282,0.013,0.007,NONE,False,False,0.3244,MODERATE_RISK,-1,True,-0.2387
prod_20003109,20003109,1000437,Phones & Telecommunications,4.18,180,405,627,32,0.0061,0.0222,0.0007,46,0.003071,923,0.0278,0.022,NONE,False,False,0.3074,MODERATE_RISK,-1,True,-0.2381
