node,product_id,seller_id,category,rating,review_count,degree,weighted_degree,max_overlap,mean_jaccard,max_jaccard,clustering_coeff,core_number,pagerank,community_id,community_density,seller_concentration,hazard_code,is_known_eu_sanction,is_true_dangerous,product_hazard_index,risk_tier,anomaly_prediction,is_suspicious,anomaly_score
prod_20000287,20000287,1000001,Home & Garden,4.05,407,279,1459,83,0.0119,0.1386,0.0068,28,0.054613,44,0.1131,0.048,NONE,False,False,1.0,CRITICAL_HAZARD,-1,True,-0.2659
prod_20000245,20000245,1000036,Consumer Electronics,4.16,275,253,1000,83,0.0125,0.1386,0.0062,28,0.037977,27,0.1093,0.069,NONE,False,False,0.828,CRITICAL_HAZARD,-1,True,-0.2574
prod_20000222,20000222,1000019,Automotive,4.1,168,197,619,58,0.0147,0.1122,0.0069,28,0.023422,44,0.1131,0.048,NONE,False,False,0.6676,CRITICAL_HAZARD,-1,True,-0.1738
prod_20000442,20000442,1000009,Consumer Electronics,4.06,113,170,409,27,0.0157,0.0748,0.0066,28,0.015312,27,0.1093,0.069,NONE,False,False,0.5586,HIGH_RISK,-1,True,-0.1342
prod_20000070,20000070,1000018,Computer & Office,4.94,16,14,57,7,0.1837,0.3333,0.0366,11,0.003347,34,0.9048,0.133,NONE,False,False,0.1784,MODERATE_RISK,-1,True,-0.0951
prod_20000498,20000498,1000038,Jewelry & Accessories,4.16,86,153,304,19,0.0165,0.0485,0.0064,28,0.011596,27,0.1093,0.069,NONE,False,False,0.5111,HIGH_RISK,-1,True,-0.0925
prod_20000197,20000197,1000032,Tools & Home Improvement,4.27,100,148,378,31,0.0179,0.0651,0.0081,28,0.013992,66,0.1199,0.053,NONE,False,False,0.5393,HIGH_RISK,-1,True,-0.0923
prod_20000163,20000163,1000024,Jewelry & Accessories,3.98,90,141,330,32,0.0173,0.0767,0.0077,28,0.012259,44,0.1131,0.048,NONE,False,False,0.5074,HIGH_RISK,-1,True,-0.0847
prod_20000087,20000087,1000044,Computer & Office,4.26,92,155,344,28,0.0167,0.0599,0.0068,28,0.012948,44,0.1131,0.048,NONE,False,False,0.5097,HIGH_RISK,-1,True,-0.0734
prod_20000000,20000000,1000018,Sports & Entertainment,4.77,13,14,48,7,0.1759,0.3529,0.0319,11,0.003074,31,0.9238,0.133,NONE,False,False,0.1625,MODERATE_RISK,-1,True,-0.0701
prod_20000009,20000009,1000007,Tools & Home Improvement,4.93,15,14,50,7,0.1721,0.3333,0.0318,11,0.003198,31,0.9238,0.133,NONE,False,False,0.1829,MODERATE_RISK,-1,True,-0.0587
prod_20000063,20000063,1000016,Sports & Entertainment,4.92,13,13,47,5,0.1798,0.2778,0.0364,11,0.002786,34,0.9048,0.133,NONE,False,False,0.1628,MODERATE_RISK,-1,True,-0.0561
prod_20000082,20000082,1000002,Consumer Electronics,3.78,0,0,0,0,0.0,0.0,0.0,0,0.000337,45,0.0,1.0,NONE,False,False,0.2107,MODERATE_RISK,-1,True,-0.0509
prod_20000113,20000113,1000036,Home & Garden,3.78,0,0,0,0,0.0,0.0,0.0,0,0.000337,40,0.0,1.0,NONE,False,False,0.1019,LOW_RISK,-1,True,-0.0509
prod_20000031,20000031,1000030,Sports & Entertainment,4.85,13,14,46,5,0.1683,0.2778,0.0312,12,0.003109,57,0.9524,0.133,CHOKE_CHILD,False,True,0.2872,MODERATE_RISK,-1,True,-0.0507
prod_20000415,20000415,1000041,Home & Garden,4.5,2,2,3,2,0.0054,0.0059,0.0588,2,0.000432,44,0.1131,0.048,NONE,False,False,0.0873,LOW_RISK,-1,True,-0.0486
prod_20000241,20000241,1000048,Sports & Entertainment,5.0,1,5,5,1,0.2156,1.0,0.0165,5,0.000566,27,0.1093,0.069,NONE,False,False,0.1655,MODERATE_RISK,-1,True,-0.0479
prod_20000356,20000356,1000032,Automotive,5.0,1,5,5,1,0.2156,1.0,0.0165,5,0.000566,27,0.1093,0.069,NONE,False,False,0.1131,LOW_RISK,-1,True,-0.0479
prod_20000326,20000326,1000018,Tools & Home Improvement,5.0,1,2,2,1,0.27,0.5,0.0152,2,0.000477,44,0.1131,0.048,NONE,False,False,0.0862,LOW_RISK,-1,True,-0.0464
prod_20000180,20000180,1000014,Phones & Telecommunications,3.79,0,0,0,0,0.0,0.0,0.0,0,0.000337,55,0.0,1.0,NONE,False,False,0.0693,LOW_RISK,-1,True,-0.0451
prod_20000366,20000366,1000024,Tools & Home Improvement,4.13,69,125,285,25,0.0209,0.0628,0.0083,28,0.010549,66,0.1199,0.053,NONE,False,False,0.4895,HIGH_RISK,-1,True,-0.0449
prod_20000046,20000046,1000010,Sports & Entertainment,4.93,15,14,47,6,0.1565,0.2778,0.031,11,0.003096,69,0.9333,0.067,NONE,False,False,0.2875,MODERATE_RISK,-1,True,-0.0424
prod_20000238,20000238,1000036,Consumer Electronics,3.83,0,0,0,0,0.0,0.0,0.0,0,0.000337,60,0.0,1.0,NONE,False,False,0.1019,LOW_RISK,-1,True,-0.0407
prod_20000411,20000411,1000017,Tools & Home Improvement,4.31,85,133,313,20,0.0189,0.0667,0.0079,28,0.011993,44,0.1131,0.048,CHOKE_CHILD,False,True,0.528,HIGH_RISK,-1,True,-0.0379
prod_20000376,20000376,1000047,Sports & Entertainment,3.88,0,0,0,0,0.0,0.0,0.0,0,0.000337,21,0.0,1.0,NONE,False,False,0.0929,LOW_RISK,-1,True,-0.0357
prod_20000042,20000042,1000041,Consumer Electronics,5.0,12,14,41,6,0.1613,0.375,0.0281,12,0.002812,57,0.9524,0.133,NONE,False,False,0.2014,MODERATE_RISK,-1,True,-0.0356
